福利,工作标签,城市,学历,工作年限,薪资,公司名称
"['脚本', '功能测试', '性能测试']",大专,上海,上海海万信息科技股份有限公司,3-5年,10k-15k,"五险一金,体检旅游,年终奖金,节日礼金"
[],本科,深圳,深圳市时代华盛网络科技有限公司,5-10年,14k-25k,"金融,互联网"
['Web测试'],大专,深圳,信必优(深圳)信息技术有限公司,5-10年,15k-19k,"外包,年终奖,六险一金,龙华新区"
"['脚本', 'Server端测试']",本科,上海,纬创软件（北京）有限公司,3-5年,15k-20k,"外企环境,优秀团队,自我提升,优质平台"
[],本科,北京,北京惠赢天下网络技术有限公司,3-5年,8k-16k,"14薪,大型企业,弹性工作制,地铁旁"
"['移动互联网', '电商', 'HTML5', 'Android', '移动端']",大专,杭州,杭州云豆科技有限公司,1-3年,10k-15k,"五险一金,扁平化管理,带薪假期,年终奖金"
[],大专,杭州,税友软件集团股份有限公司,3-5年,10k-20k,领导nice 大牛指导 技术分享 晋升机会大
['脚本'],本科,北京,掌阅科技股份有限公司,不限,4k-5k,"学习空间大,培训多,一带一"
['脚本'],本科,上海,上海成聘商务咨询有限公司,3-5年,15k-30k,"薪资高,互联网行业"
"['证券/期货', '基金', '移动端', '数据库']",本科,上海,上海卉群企业管理咨询有限公司,1-3年,8k-16k,"大平台,环境好,薪酬佳,技术大牛带"
"['企业服务', '客户端', 'Server端测试', 'Web测试']",本科,珠海,广州易行信息技术有限公司,3-5年,8k-15k,"工业互联网,大数据,微服务,云计算"
['脚本'],本科,北京,天津五八驾考信息技术有限公司,1-3年,10k-20k,"免费班车,弹性工作制,五险一金,免费下午茶"
"['新零售', '电商', '功能测试', '性能测试', '测试开发']",本科,上海,百安居（中国）投资有限公司,3-5年,15k-20k,平台大，团队好
工作标签,学历,城市,公司名称,工作年限,薪资,福利
['性能测试'],本科,上海,武汉佰钧成技术有限责任公司,3-5年,14k-23k,六险一金带薪年假节日礼品弹性工作
['脚本'],本科,上海,上海幻电信息科技有限公司,3-5年,15k-30k,"发展好,牛人多,氛围好"
"['信息安全', 'Windows测试', '测试开发']",本科,北京,北京杰思安全科技有限公司,5-10年,15k-25k,"晋升空间,扁平化管理,绩效奖金,期权奖励"
['测试开发'],本科,上海,上海蔚来汽车有限公司,3-5年,20k-30k,"股票期权,补充公积金,免费班车,年底双薪"
"['Jmeter', '脚本']",大专,北京,北京名道恒通信息技术有限公司,3-5年,10k-15k,年度双薪
"['脚本', 'Android测试']",本科,上海,翱捷科技（上海）有限公司,应届毕业生,3k-5k,"氛围好,交通方便"
"['Selenium', '脚本']",本科,北京,北京网脑科技发展有限公司,5-10年,20k-30k,"14.5薪,六险一金,学术氛围"
['脚本'],本科,武汉,诚迈科技（南京）股份有限公司,1-3年,8k-15k,"发展空间大,加班费,奖金,补贴"
['脚本'],本科,上海,携程计算机技术（上海）有限公司,3-5年,12k-18k,弹性工时 携程大平台
